,area,area_bbox,eccentricity,euler_number,extent,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,mask_name
3850,0.00319671630859375,0.004138946533203125,0.5778306936371042,1,0.7723502304147466,81.96123284784207,3.3431713193704753,3.3431713193704753,55.2827122766446,82.37379642083071,54.87014870365596,0.16377559084067622,0.0010771906029107424,1.5371632039595807e-05,1.3709000878302232e-07,1.9137684812109434e-13,4.367537673524845e-09,5.4577932387464766e-14,58975.npy_channel1_bbox1
3851,0.003314971923828125,0.0042572021484375,0.5994135734829755,1,0.7786738351254481,86.7205854115877,3.3864977137325694,3.3864977137325694,56.170700022909,87.09148053695193,55.799804897544774,0.1644318589579939,0.0012966360343315772,1.5749852984824606e-05,1.7982552441596942e-07,3.0243308214236735e-13,6.473796218124135e-09,1.0978619031841159e-14,58975.npy_channel1_bbox2
3852,0.002909097326807229,0.004026849585843374,0.7786719323705681,1,0.7224251278305333,87.6718524599717,38.106757752875176,38.106757752875176,87.50790341890216,125.69672386321196,49.48303201566191,0.1771281657015914,0.005938454265917321,1.51836844331399e-06,2.3187721242591284e-07,1.3423422103476114e-13,1.6726794895350925e-08,3.0186211280695046e-14,17904.npy_channel0_bbox0
3853,0.002403167356927711,0.003200301204819277,0.770258305623421,1,0.7509191176470589,73.58247102199437,30.31134745291682,30.31134745291682,70.3565721682305,102.32375342965449,41.61528976057038,0.1761799794249998,0.005521465613756187,4.5954342952505766e-06,6.303180684517075e-07,1.0465511216356176e-12,3.9025317691922804e-08,2.3568323995532284e-13,17904.npy_channel0_bbox1
3854,0.007936041039156627,0.010748070406626505,0.8785343568280454,1,0.7383689107827038,103.01511332832543,10.579884696183804,10.579884696183804,449.73334900354496,450.05588735800063,102.69257497386978,0.2048734107975798,0.016576162831880417,4.109902101760998e-06,6.375699082362996e-07,8.915056349592143e-13,5.478712726869418e-08,-5.19978705554447e-13,17904.npy_channel1_bbox0
3855,0.007521296121987952,0.010006824171686747,0.878887914866827,1,0.7516166960611405,406.985431420553,78.72029009601806,78.72029009601806,117.16487090045052,426.9868651102629,97.16343721074065,0.20498643031716998,0.0166380163238493,2.9514042101022158e-06,4.620344770141657e-07,4.672161420690702e-13,3.97233492724574e-08,-2.698435420102865e-13,17904.npy_channel1_bbox1
3856,0.02519855108331271,0.02519855108331271,0.9368228919073699,1,1.0,533.25,-0.0,-0.0,65.25,533.25,65.25,0.2671875,0.04365114795918368,0.0,0.0,0.0,0.0,0.0,40684.npy_bbox0
3857,0.06578621729250568,0.06578621729250568,0.6122482096197226,1,1.0,616.25,-0.0,-0.0,385.25,616.25,385.25,0.17125512995896033,0.0015603040360355647,0.0,0.0,0.0,0.0,0.0,40684.npy_bbox1
3858,0.03289310864625284,0.03289310864625284,0.9185931566389633,1,1.0,616.25,-0.0,-0.0,96.25,616.25,96.25,0.24367305061559508,0.03162655957302274,0.0,0.0,0.0,0.0,0.0,40684.npy_bbox2
3859,0.2745806451612903,0.2745806451612903,0.5393284431647499,1,1.0,1474.0,-0.0,-0.0,1045.25,1474.0,1045.25,0.16912258324382384,0.0008284550294321329,0.0,0.0,0.0,0.0,0.0,569.npy_bbox0
3860,0.248147465437788,0.248147465437788,0.5508043361000952,1,1.0,1344.0,-0.0,-0.0,936.25,1344.0,936.25,0.16938419254196999,0.0009174211900399592,0.0,0.0,0.0,0.0,0.0,569.npy_bbox1
3861,0.001318359375,0.001908111572265625,0.7243847396342217,1,0.6909236305477809,101.51575226123111,12.411049757801779,12.411049757801779,209.21534073859732,210.6270565737363,100.10403642609214,0.17982123437490077,0.004090891974825237,0.0004370515476252803,1.0875473630329806e-05,-6.976378098246705e-10,-6.747951708020258e-07,-2.747432069527988e-10,7498.npy_channel0_bbox0
3862,0.001602935791015625,0.002300262451171875,0.7284121294748777,1,0.696849087893864,122.23201027773767,14.779754025700232,14.779754025700232,255.31560524769932,256.9372286099178,120.6103869155192,0.17969900786551027,0.004210276733290946,0.00038396316469376977,1.0502924878883766e-05,-5.464125435202179e-10,-6.808924156612348e-07,-3.824790735125261e-10,7498.npy_channel0_bbox1
3863,0.00317535400390625,0.00568084716796875,0.8061064293786208,1,0.5589578297072254,698.8096031899795,-61.09005218954301,-61.09005218954301,255.8857462693632,707.0809553702431,247.61439408909956,0.22938379371920778,0.012187192429313369,0.00010191053529281865,3.0583978201433632e-06,3.4338930972528974e-11,3.3604382496408087e-07,-4.166841749969456e-11,7498.npy_channel1_bbox0
3864,0.00280914306640625,0.0049285888671875,0.8059714842641104,1,0.569969040247678,617.2968653971152,-53.773317556142345,-53.773317556142345,226.10703568101914,624.5539665490659,218.84993452906846,0.22906135281861334,0.01214090551928884,0.00011281236877573433,4.3582747615775304e-06,5.813315219681376e-11,4.802134356785696e-07,-7.7198057594694e-11,7498.npy_channel1_bbox1
3865,0.003157806396484375,0.005625152587890625,0.806554367298324,1,0.5613725756137258,695.6147823042951,-62.92598515899621,-62.92598515899621,254.9857235177601,704.4250474445026,246.1754583775526,0.2296691243831977,0.012257822142263786,0.00011123625569655578,3.4145073630192846e-06,4.943388238381599e-11,3.7195667235500723e-07,-4.4548006326904515e-11,7498.npy_channel1_bbox2
3866,0.058168764467592594,0.09165219907407407,0.22141987468872537,1,0.6346685082872928,1617.901387923629,24.620210098229716,24.620210098229716,1555.1839272152454,1626.411501479286,1546.6738136595884,0.164417084571163,1.707094896612169e-05,1.19645475882331e-06,2.723808631659975e-08,-3.8470103391295134e-15,-7.884492329726922e-11,-3.0624872032010712e-15,3826.npy_bbox0
3867,0.05456693672839506,0.08646797839506173,0.2173003778598468,1,0.6310652537646403,1514.357094639915,24.998436453180915,24.998436453180915,1462.5690684557323,1524.4550492505919,1452.4711138450555,0.16443471957002032,1.580964398847607e-05,1.3021693580449194e-06,3.3486216837413196e-08,-4.938546489091984e-15,-1.0790504333804203e-10,-4.9503436540585024e-15,3826.npy_bbox1
